Date,Price,diff_1
2014-07-15,3.44,0.20250000000000012
2014-07-16,3.3760000000000003,-0.06399999999999961
2014-07-17,3.407,0.030999999999999694
2014-07-18,3.49,0.08300000000000018
2014-07-21,3.41,-0.08000000000000007
2014-07-22,3.55,0.13999999999999968
2014-07-23,3.41,-0.13999999999999968
2014-07-24,3.455,0.04499999999999993
2014-07-25,3.66,0.20500000000000007
2014-07-28,3.615,-0.04499999999999993
2014-07-29,3.45,-0.16500000000000004
2014-07-30,3.455,0.004999999999999893
2014-07-31,3.465,0.009999999999999787
2014-08-01,3.365,-0.09999999999999964
2014-08-04,3.45,0.08499999999999996
2014-08-05,3.397,-0.05300000000000038
2014-08-06,3.515,0.11800000000000033
2014-08-07,3.555,0.040000000000000036
2014-08-08,3.445,-0.11000000000000032
2014-08-11,3.81,0.3650000000000002
2014-08-12,3.81,0.0
2014-08-13,3.725,-0.08499999999999996
2014-08-14,3.765,0.040000000000000036
2014-08-15,3.615,-0.1499999999999999
2014-08-18,3.875,0.2599999999999998
2014-08-19,3.89,0.015000000000000124
2014-08-20,3.9,0.009999999999999787
2014-08-21,3.8175,-0.08250000000000002
2014-08-22,3.745,-0.07249999999999979
2014-08-25,3.745,0.0
2014-08-26,3.805,0.06000000000000005
2014-08-27,3.755,-0.050000000000000266
2014-08-28,3.805,0.050000000000000266
2014-08-29,3.775,-0.03000000000000025
2014-09-01,3.755,-0.020000000000000018
2014-09-02,3.765,0.010000000000000231
2014-09-03,3.775,0.009999999999999787
2014-09-04,3.725,-0.04999999999999982
2014-09-05,3.735,0.009999999999999787
2014-09-08,3.685,-0.04999999999999982
2014-09-09,3.625,-0.06000000000000005
2014-09-10,3.625,0.0
2014-09-11,3.615,-0.009999999999999787
2014-09-12,3.625,0.009999999999999787
2014-09-15,3.55,-0.07500000000000018
2014-09-16,3.595,0.04500000000000037
2014-09-17,3.625,0.029999999999999805
2014-09-18,3.5225,-0.10250000000000004
2014-09-19,3.3125,-0.20999999999999996
2014-09-22,3.3,-0.012500000000000178
2014-09-23,3.405,0.10499999999999998
2014-09-24,3.3,-0.10499999999999998
2014-09-25,3.25,-0.04999999999999982
2014-09-26,3.235,-0.015000000000000124
2014-09-29,3.3013,0.06630000000000003
2014-09-30,3.29,-0.011299999999999866
2014-10-01,3.25,-0.040000000000000036
2014-10-02,3.215,-0.03500000000000014
2014-10-03,3.21,-0.004999999999999893
2014-10-06,3.22,0.010000000000000231
2014-10-07,3.2112,-0.008800000000000363
2014-10-08,3.195,-0.016199999999999992
2014-10-09,3.195,0.0
2014-10-10,3.195,0.0
2014-10-13,3.195,0.0
2014-10-14,3.2,0.0050000000000003375
2014-10-15,3.205,0.004999999999999893
2014-10-16,3.205,0.0
2014-10-17,3.21,0.004999999999999893
2014-10-20,3.205,-0.004999999999999893
2014-10-21,3.195,-0.010000000000000231
2014-10-22,3.2175,0.022499999999999964
2014-10-23,3.2175,0.0
2014-10-24,3.2175,0.0
2014-10-27,3.2175,0.0
2014-10-28,3.205,-0.012499999999999734
2014-10-29,3.225,0.020000000000000018
2014-10-30,3.225,0.0
2014-10-31,3.225,0.0
2014-11-03,3.2265,0.0015000000000000568
2014-11-04,3.225,-0.0015000000000000568
2014-11-05,3.225,0.0
2014-11-06,3.225,0.0
2014-11-07,3.2188,-0.006200000000000205
2014-11-10,3.2225,0.0037000000000002586
2014-11-11,3.215,-0.007500000000000284
2014-11-12,3.225,0.010000000000000231
2014-11-13,3.2163,-0.008700000000000152
2014-11-14,3.2175,0.0011999999999998678
2014-11-17,3.2175,0.0
2014-11-18,3.195,-0.022499999999999964
2014-11-19,3.19,-0.004999999999999893
2014-11-20,3.19,0.0
2014-11-21,3.19,0.0
2014-11-24,3.195,0.004999999999999893
2014-11-25,3.195,0.0
2014-11-26,3.2,0.0050000000000003375
2014-11-27,3.19,-0.010000000000000231
2014-11-28,3.205,0.015000000000000124
2014-12-01,3.2,-0.004999999999999893
2014-12-02,3.205,0.004999999999999893
2014-12-03,3.2,-0.004999999999999893
2014-12-04,3.2175,0.017499999999999627
2014-12-05,3.215,-0.0024999999999999467
2014-12-08,3.22,0.0050000000000003375
2014-12-09,3.2175,-0.002500000000000391
2014-12-10,3.2175,0.0
2014-12-11,3.2175,0.0
2014-12-12,3.2175,0.0
2014-12-15,3.2175,0.0
2014-12-16,3.22,0.002500000000000391
2014-12-17,3.2175,-0.002500000000000391
2014-12-18,3.2175,0.0
2014-12-19,3.2058,-0.011699999999999822
2014-12-22,3.215,0.009199999999999875
2014-12-23,3.215,0.0
2014-12-24,3.215,0.0
2014-12-25,3.19,-0.02499999999999991
2014-12-26,3.19,0.0
2014-12-29,3.2175,0.027499999999999858
2014-12-30,3.215,-0.0024999999999999467
2014-12-31,3.185,-0.029999999999999805
2015-01-01,3.19,0.004999999999999893
2015-01-02,3.2165,0.026499999999999968
2015-01-05,3.2175,0.0009999999999998899
2015-01-06,3.22,0.002500000000000391
2015-01-07,3.225,0.004999999999999893
2015-01-08,3.235,0.009999999999999787
2015-01-09,3.2425,0.007500000000000284
2015-01-12,3.29,0.047499999999999876
2015-01-13,3.235,-0.05500000000000016
2015-01-14,3.285,0.050000000000000266
2015-01-15,3.25,-0.03500000000000014
2015-01-16,3.27,0.020000000000000018
2015-01-19,3.26,-0.010000000000000231
2015-01-20,3.3110000000000004,0.0510000000000006
2015-01-21,3.27,-0.04100000000000037
2015-01-22,3.3,0.029999999999999805
2015-01-23,3.275,-0.02499999999999991
2015-01-26,3.285,0.010000000000000231
2015-01-27,3.285,0.0
2015-01-28,3.285,0.0
2015-01-29,3.305,0.020000000000000018
2015-01-30,3.33,0.02499999999999991
2015-02-02,3.37,0.040000000000000036
2015-02-03,3.355,-0.015000000000000124
2015-02-04,3.365,0.010000000000000231
2015-02-05,3.38,0.01499999999999968
2015-02-06,3.38,0.0
2015-02-09,3.38,0.0
2015-02-10,3.33,-0.04999999999999982
2015-02-11,3.38,0.04999999999999982
2015-02-12,3.41,0.03000000000000025
