,test-R2,MAE,MSE,RMSE
Linear,0.9627398725080091,0.007875707326590008,0.0001400165824063727,0.011832860280015678
Poly,0.9516577669926005,0.00900433776152417,0.00018166105988347866,0.0134781697527327
RBF,0.9643846327462603,0.007669736728756408,0.00013383588140132807,0.01156874588714473
