Date,true-y,linear,rbf,poly
2019-01-15,4.8954,4.905254518125278,4.903148481500108,4.90013070884593
2019-01-16,4.9105,4.910180380799697,4.9083454988155,4.904472114948128
2019-01-17,4.9025,4.903040998103919,4.900753930925428,4.899033391006422
2019-01-18,4.915,4.914668401474657,4.912749745968673,4.9092460357365315
2019-01-21,4.9112,4.910091850318662,4.907825045255993,4.906056973324793
2019-01-22,4.9405,4.933254071845257,4.931520043016968,4.928022992566299
2019-01-23,4.9269,4.927598125877421,4.92521594994002,4.925044875287354
2019-01-24,4.9841,4.973296016772923,4.972056422235211,4.967836713050609
2019-01-25,4.9935,4.983968962946851,4.982147703089428,4.983700514358538
2019-01-28,5.002,5.011402369520514,5.009284457615327,5.0096158231180565
2019-01-29,4.9612,4.9822533265875615,4.979287767334681,4.98158549810659
2019-01-30,4.9641,4.9729543889329655,4.9709372005245065,4.968694597709064
2019-01-31,4.965,4.955450201148935,4.952865024309418,4.9528261882758216
2019-02-01,4.9604,4.955356050005995,4.952810017741497,4.952211052459957
2019-02-04,4.9763,4.966407817375134,4.964222118903473,4.962286222588172
2019-02-05,4.9551,4.9544974914458955,4.951821669020106,4.9517748072254415
2019-02-06,4.9726,4.968317875266892,4.966404215908497,4.962803290559951
2019-02-07,5.1774,5.102658019628486,5.103878127213024,5.096954579135822
2019-02-08,5.14,5.130423068272022,5.135614622622444,5.140979847780471
2019-02-11,5.105,5.17043788421316,5.168140753344482,5.170891813413428
2019-02-12,5.26,5.231879773742686,5.231918917259867,5.230618627065695
2019-02-13,5.0051,5.070043520466582,5.072200233901338,5.085766565716697
2019-02-14,5.1817,5.18587978677409,5.1844201865721855,5.172659883700965
2019-02-15,5.005,4.995765253899161,5.000456202305659,5.008807220648526
2019-02-18,5.0977,5.098447602562753,5.099483272836081,5.087471748319239
2019-02-19,5.0977,5.047448937581601,5.045666573622084,5.0505205509724895
2019-02-20,5.0976,5.094159395424462,5.091554463563744,5.092239956310075
2019-02-21,5.28,5.216980583167563,5.217548348163193,5.212806179690285
2019-02-22,5.295,5.2668810664298435,5.270137837478047,5.277243863223652
2019-02-25,5.35,5.372132555784452,5.370964378992511,5.3763078728743485
2019-02-26,5.52,5.48509139065077,5.485719890928706,5.492549820593088
2019-02-27,5.4,5.446303742677053,5.447636770333252,5.467467900832615
2019-02-28,5.5275,5.551667347982943,5.550604105532823,5.55571751636607
2019-03-01,5.525,5.507421753097843,5.506279942482648,5.527244729588341
2019-03-04,5.5277,5.5492821089102815,5.54549404030622,5.563121650084408
2019-03-05,5.5102,5.520541391769308,5.516013700812194,5.534684041985229
2019-03-06,5.52,5.514251397767878,5.510117017493127,5.525908643295817
2019-03-07,5.5502,5.52435442310562,5.520437783386781,5.53598176730115
2019-03-08,5.5,5.498674821341916,5.493796524528149,5.511590044165236
2019-03-11,5.6375,5.589906596235316,5.588326501494594,5.594847469759458
2019-03-12,5.5225,5.520323579917174,5.519237889656224,5.538665701452917
2019-03-13,5.575,5.582684956661014,5.581289394043375,5.584659555717749
2019-03-14,5.5710000000000015,5.538159136876458,5.534340466742591,5.54854988150628
2019-03-15,5.63,5.600767088608952,5.59794183364073,5.606802687024546
2019-03-18,5.375,5.436957699833618,5.433719485942247,5.4500790867555615
2019-03-19,5.3928,5.412952024031878,5.418804260289095,5.402067019660149
2019-03-20,5.2367,5.213652432060993,5.212091676004726,5.214837933825665
2019-03-21,5.215,5.19458009845585,5.198924596413231,5.180002877995877
2019-03-22,5.1,5.069941688753986,5.070439742993321,5.05922311623102
2019-03-25,5.105,5.066249964249919,5.069165617919332,5.044968517336518
2019-03-26,5.075,5.025357927990575,5.024916266160558,5.008090722386054
2019-03-27,5.215,5.14048055398738,5.141652025649264,5.118032659881347
2019-03-28,5.15,5.1320254683978765,5.134451167736172,5.122940414606186
2019-03-29,5.4831,5.406584018651681,5.410549013055512,5.383823834860128
2019-04-01,5.0942,5.1858715086699885,5.22822015291049,5.199013496020252
2019-04-02,5.3,5.360268351804257,5.3468902686761846,5.328191572157757
2019-04-03,5.215,5.174644213090252,5.182124060267147,5.177878767465022
2019-04-04,5.218,5.250562879410612,5.25052721034953,5.238067857504609
2019-04-05,5.1283,5.15023623727881,5.147966094889332,5.1432484260983955
2019-04-08,5.1569,5.15368768354324,5.154003478914311,5.138931863455835
2019-04-09,5.2164,5.169933477555796,5.168965941713141,5.1602141802822
2019-04-10,5.1799,5.17909147851125,5.17751747385927,5.173080388123276
2019-04-11,5.1844,5.198913382717786,5.19794520759582,5.1878759511797465
2019-04-12,5.1911,5.187265996818718,5.185739334998102,5.178582530667447
2019-04-15,5.1445,5.159853856681993,5.157758887937137,5.152285962447269
2019-04-16,5.172999999999999,5.171462155568467,5.17073674911233,5.159783305347078
2019-04-17,5.19,5.172039253278674,5.170537310374988,5.164475084281787
2019-04-18,5.1248,5.146218168677853,5.143934345758898,5.139614145774216
2019-04-19,5.125,5.137770816768794,5.137203900264887,5.125497470365933
2019-04-22,5.1344,5.118950109997793,5.117371025443207,5.109311973051363
2019-04-23,5.1625,5.145881220454249,5.144604357580913,5.136430832985914
2019-04-24,5.1304,5.1372446202703665,5.135307337994185,5.13010762495014
2019-04-25,5.1556,5.15848301797319,5.157566494212375,5.147632929351398
2019-04-26,5.1852,5.170385269250343,5.1691037312027905,5.162879135686597
2019-04-29,5.145,5.160488586640307,5.158352458276511,5.155010024360741
2019-04-30,5.1408,5.157695536835351,5.156419479796176,5.148237847707511
2019-05-01,5.1719,5.159280790281841,5.157878280270832,5.151048099946946
